date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-03-17,26.268,21.89,9.95,39.8,0,0,0,0,19.9,0,3.184,0,0
2020-03-18,16.24226884,36.5451049,38.86542902,0,58.00810301,0,0,0,37.70526696,0,6.380891331,0,0
2020-03-19,6.066666667,9.1,30.33333333,30.33333333,0,0,21.23333333,0,15.16666667,0,0,9.1,303.3333333
2020-03-20,25.796356,22.19686446,0,31.1955933,0,0,19.79720344,0,27.59610176,0,12.59822037,59.99152557,0
2020-03-21,31.47124699,53.3410966,12.80186318,50.67404177,36.27194569,0,32.53806893,0,41.07264438,0,14.40209608,46.94016501,0
2020-03-22,37.24185178,47.14158453,24.04220811,24.51362395,36.29902009,0,30.1706141,0,35.35618839,0,6.128405988,31.11344579,0
2020-03-23,61.6122311,46.76591035,18.55790093,74.23160373,55.6737028,0,72.74697166,0,70.52002355,0,5.938528299,23.75411319,0
2020-03-24,18.9273902,29.25142122,50.47304054,20.07450476,57.35572788,0,13.19181741,0,30.39853578,0,8.029801904,0,0
2020-03-25,38.41666667,38.41666667,51.22222222,0,0,0,0,0,34.14814815,115.25,17.07407407,17.07407407,426.8518519
2020-03-26,45.47348485,50.02083333,27.28409091,27.28409091,0,454.7348485,31.83143939,0,36.37878788,0,4.547348485,31.83143939,0
2020-03-27,9.741114884,17.76320949,9.168108126,0,0,0,57.30067579,0,21.7742568,0,4.584054063,22.92027032,0
2020-03-28,11.08095238,19.39166667,16.62142857,16.62142857,0,277.0238095,30.47261905,0,22.16190476,0,0,19.39166667,0
2020-03-29,47.1482906,53.88376068,0,32.33025641,0,0,21.55350427,0,36.37153846,134.7094017,17.51222222,40.41282051,0
2020-03-30,42.57326993,41.28317084,64.50495444,38.70297266,59.34455808,0,107.0782244,0,59.34455808,0,6.450495444,129.0099089,0
2020-03-31,22.77358416,37.9559736,57.56655996,63.25995599,0,0,14.54978988,0,36.05817492,0,14.54978988,41.75157096,0
2020-04-01,66.02255306,99.88027258,62.63678111,77.87275489,60.94389513,0,54.17235123,0,88.03007075,169.2885976,16.92885976,50.78657928,0
2020-04-02,61.52039618,60.26487789,62.77591447,28.87692066,43.94314013,0,77.84213394,0,59.0093596,125.5518289,7.533109737,74.07557908,0
2020-04-03,70.57223453,102.2786008,67.50387651,83.86845263,0,0,101.2558148,0,68.52666252,93.0735267,14.31900411,26.5924362,0
